LoanID,CustomerID,OriginalLoanID,LoanAmount,InterestRate,LoanPurpose,LoanStatus,LoanTerm,LoanGrade,IssueDate
151,151,65935418,31700.0,11.22,debt_consolidation,Fully Paid,36,B,2015-12-01
152,152,66120844,35000.0,21.99,debt_consolidation,Fully Paid,60,F,2015-11-01
153,153,68112841,10000.0,7.91,debt_consolidation,Fully Paid,36,A,2015-12-01
154,154,65483808,20000.0,13.67,debt_consolidation,Current,60,C,2015-12-01
155,155,65727435,35000.0,12.05,credit_card,Fully Paid,60,C,2015-11-01
156,156,65804963,12000.0,14.33,debt_consolidation,Charged Off,36,C,2015-12-01
157,157,67418222,24000.0,15.41,credit_card,Charged Off,60,D,2015-12-01
158,158,66562204,20000.0,13.18,home_improvement,Charged Off,60,C,2015-12-01
159,159,67889044,15000.0,9.76,debt_consolidation,Fully Paid,36,B,2015-12-01
160,160,68072331,23225.0,8.49,debt_consolidation,Fully Paid,60,B,2015-12-01
161,161,65796082,21000.0,12.05,credit_card,Current,60,C,2015-12-01
162,162,67248197,18000.0,6.24,credit_card,Fully Paid,36,A,2015-12-01
163,163,65731207,20000.0,10.99,credit_card,Current,60,B,2015-11-01
164,164,65956513,5350.0,13.18,credit_card,Fully Paid,36,C,2015-12-01
165,165,68192669,13000.0,8.49,debt_consolidation,Fully Paid,36,B,2015-12-01
166,166,67980162,8000.0,9.76,debt_consolidation,Fully Paid,36,B,2015-12-01
167,167,66641055,25925.0,15.41,debt_consolidation,Charged Off,36,D,2015-12-01
168,168,67899621,12000.0,5.32,credit_card,Fully Paid,36,A,2015-12-01
169,169,65975695,29600.0,11.99,debt_consolidation,Current,60,C,2015-12-01
170,170,68524603,25000.0,13.44,debt_consolidation,Fully Paid,36,C,2015-12-01
171,171,65637795,6000.0,7.26,debt_consolidation,Fully Paid,36,A,2015-11-01
172,172,68262838,15000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-12-01
173,173,66665756,28000.0,19.99,debt_consolidation,Fully Paid,60,E,2015-12-01
174,174,66602353,4000.0,8.38,home_improvement,Fully Paid,36,B,2015-12-01
175,175,66055596,10000.0,5.32,debt_consolidation,Fully Paid,36,A,2015-12-01
176,176,68376378,24000.0,10.78,debt_consolidation,Fully Paid,60,B,2015-12-01
177,177,67287465,26400.0,13.18,credit_card,Fully Paid,60,C,2015-12-01
178,178,66611794,15000.0,7.89,debt_consolidation,Fully Paid,36,A,2015-12-01
179,179,67318616,15000.0,7.89,debt_consolidation,Fully Paid,36,A,2015-12-01
180,180,66464594,8000.0,13.67,debt_consolidation,Fully Paid,36,C,2015-12-01
181,181,67005195,5700.0,14.48,debt_consolidation,Charged Off,36,C,2015-12-01
182,182,67267450,10000.0,9.17,debt_consolidation,Charged Off,36,B,2015-12-01
183,183,66515566,34625.0,22.99,debt_consolidation,Charged Off,60,F,2015-12-01
184,184,67317801,10000.0,10.64,credit_card,Fully Paid,36,B,2015-12-01
185,185,68535120,25000.0,16.59,debt_consolidation,Current,60,D,2015-12-01
186,186,67256493,27675.0,17.86,debt_consolidation,Charged Off,60,D,2015-12-01
187,187,65613891,25000.0,6.89,credit_card,Fully Paid,36,A,2015-11-01
188,188,67426648,30000.0,17.86,debt_consolidation,Current,60,D,2015-12-01
189,189,67115132,35000.0,17.57,debt_consolidation,Current,60,D,2015-12-01
190,190,65836033,7200.0,8.18,other,Fully Paid,36,B,2015-11-01
191,191,66435232,22000.0,9.17,debt_consolidation,Current,60,B,2015-12-01
192,192,65786229,25000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-11-01
193,193,65843402,12000.0,12.59,credit_card,Charged Off,36,C,2015-12-01
194,194,67848888,35000.0,18.2,credit_card,Fully Paid,60,E,2015-12-01
195,195,65646842,35000.0,15.41,debt_consolidation,Fully Paid,36,D,2015-12-01
196,196,66056371,15000.0,8.38,credit_card,Fully Paid,36,B,2015-12-01
197,197,66643586,15000.0,15.41,debt_consolidation,Fully Paid,36,D,2015-12-01
198,198,65716035,10500.0,7.89,credit_card,Fully Paid,36,A,2015-11-01
199,199,67325338,14000.0,9.17,credit_card,Current,60,B,2015-12-01
200,200,66085047,35000.0,16.99,debt_consolidation,Fully Paid,60,D,2015-11-01
201,201,66515796,17000.0,14.48,debt_consolidation,Fully Paid,60,C,2015-12-01
202,202,66594824,19000.0,9.17,debt_consolidation,Charged Off,36,B,2015-12-01
203,203,66280824,8400.0,5.32,debt_consolidation,Fully Paid,36,A,2015-12-01
204,204,65814299,8000.0,9.99,debt_consolidation,Fully Paid,36,B,2015-11-01
205,205,66120951,21000.0,8.38,credit_card,Fully Paid,36,B,2015-12-01
206,206,66641414,8500.0,8.38,debt_consolidation,Fully Paid,36,B,2015-12-01
207,207,68010252,14000.0,12.59,debt_consolidation,Fully Paid,36,C,2015-12-01
208,208,65645426,19075.0,22.99,home_improvement,Fully Paid,60,F,2015-11-01
209,209,65635553,8000.0,15.41,other,Fully Paid,36,D,2015-12-01
210,210,66643129,9000.0,12.59,credit_card,Fully Paid,36,C,2015-12-01
211,211,65687069,1500.0,11.49,moving,Fully Paid,36,B,2015-11-01
212,212,65623924,18000.0,6.24,credit_card,Fully Paid,36,A,2015-11-01
213,213,66401469,14000.0,7.89,debt_consolidation,Charged Off,36,A,2015-12-01
214,214,65677468,10000.0,15.41,debt_consolidation,Charged Off,60,D,2015-11-01
215,215,66006770,15000.0,10.64,debt_consolidation,Fully Paid,36,B,2015-12-01
216,216,65817177,30000.0,12.05,debt_consolidation,Fully Paid,60,C,2015-12-01
217,217,67365645,9000.0,11.99,medical,Fully Paid,36,C,2015-12-01
218,218,65855058,14000.0,15.41,credit_card,Current,60,D,2015-12-01
219,219,65906056,20000.0,11.22,other,Fully Paid,36,B,2015-12-01
220,220,66574908,27900.0,15.41,debt_consolidation,Fully Paid,36,D,2015-12-01
221,221,66533539,20000.0,13.67,debt_consolidation,Charged Off,36,C,2015-12-01
222,222,63568965,12000.0,5.32,home_improvement,Charged Off,36,A,2015-10-01
223,223,65462155,15600.0,17.57,debt_consolidation,Current,60,D,2015-11-01
224,224,65763941,28000.0,6.89,credit_card,Charged Off,36,A,2015-12-01
225,225,62266055,5000.0,9.99,credit_card,Fully Paid,36,B,2015-11-01
226,226,63476266,11500.0,16.99,credit_card,Fully Paid,60,D,2015-10-01
227,227,61902184,15000.0,6.24,credit_card,Fully Paid,36,A,2015-10-01
228,228,65058610,6000.0,7.89,car,Fully Paid,36,A,2015-11-01
229,229,62509245,16000.0,18.55,debt_consolidation,Fully Paid,60,E,2015-10-01
230,230,65791758,4000.0,17.57,debt_consolidation,Fully Paid,36,D,2015-11-01
231,231,63398083,11000.0,8.18,debt_consolidation,Fully Paid,36,B,2015-11-01
232,232,63054144,25000.0,6.24,credit_card,Fully Paid,36,A,2015-10-01
233,233,63327003,3000.0,5.32,debt_consolidation,Fully Paid,36,A,2015-10-01
234,234,65313419,6000.0,13.18,other,Fully Paid,36,C,2015-11-01
235,235,65762253,14000.0,12.59,credit_card,Fully Paid,36,C,2015-11-01
236,236,64230522,12000.0,10.99,debt_consolidation,Fully Paid,36,B,2015-11-01
237,237,63651194,10000.0,11.53,debt_consolidation,Fully Paid,60,B,2015-11-01
238,238,64978020,13500.0,7.89,credit_card,Current,60,A,2015-11-01
239,239,63528184,28500.0,9.99,debt_consolidation,Current,60,B,2015-10-01
240,240,65069107,20000.0,6.24,debt_consolidation,Fully Paid,36,A,2015-11-01
241,241,65039221,3600.0,16.99,moving,Fully Paid,36,D,2015-11-01
242,242,65445151,4000.0,12.59,debt_consolidation,Charged Off,36,C,2015-11-01
243,243,64997538,1600.0,13.18,other,Fully Paid,36,C,2015-11-01
244,244,65812558,14000.0,8.18,debt_consolidation,Current,60,B,2015-11-01
245,245,65179859,8400.0,13.18,other,Fully Paid,36,C,2015-11-01
246,246,65068835,10000.0,7.26,debt_consolidation,Fully Paid,36,A,2015-11-01
247,247,64057605,6000.0,12.05,major_purchase,Fully Paid,36,C,2015-11-01
248,248,63355115,12000.0,7.89,debt_consolidation,Fully Paid,36,A,2015-10-01
249,249,63339095,26400.0,17.86,debt_consolidation,Charged Off,60,D,2015-11-01
250,250,63517017,32275.0,19.19,debt_consolidation,Fully Paid,60,E,2015-10-01
251,251,63488513,5200.0,14.65,debt_consolidation,Fully Paid,36,C,2015-10-01
252,252,61883215,22000.0,18.55,credit_card,Fully Paid,60,E,2015-10-01
253,253,63868589,12000.0,12.59,debt_consolidation,Charged Off,36,C,2015-11-01
254,254,65551834,30000.0,8.18,credit_card,Fully Paid,36,B,2015-11-01
255,255,65682052,21000.0,13.18,debt_consolidation,Current,60,C,2015-11-01
256,256,62854281,19200.0,18.55,debt_consolidation,Late (31-120 days),60,E,2015-10-01
257,257,64240494,35000.0,22.99,debt_consolidation,Fully Paid,60,F,2015-11-01
258,258,62569139,10000.0,12.69,moving,Fully Paid,36,C,2015-10-01
259,259,63464871,2000.0,13.33,home_improvement,Fully Paid,36,C,2015-10-01
260,260,62510015,15000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-10-01
261,261,65472381,20000.0,10.99,credit_card,Charged Off,36,B,2015-11-01
262,262,63385575,20000.0,16.99,debt_consolidation,Current,60,D,2015-10-01
263,263,64079541,4625.0,23.99,house,Charged Off,36,F,2015-11-01
264,264,65463180,28000.0,9.99,debt_consolidation,Current,60,B,2015-11-01
265,265,63215532,6000.0,6.24,home_improvement,Fully Paid,36,A,2015-10-01
266,266,63160343,25000.0,7.89,debt_consolidation,Fully Paid,36,A,2015-11-01
267,267,62439123,22000.0,6.24,credit_card,Fully Paid,36,A,2015-10-01
268,268,65018238,18000.0,13.67,credit_card,Fully Paid,36,C,2015-11-01
269,269,63877589,7975.0,14.33,credit_card,Fully Paid,36,C,2015-11-01
270,270,63621657,12500.0,18.2,debt_consolidation,Current,60,E,2015-11-01
271,271,64842745,16000.0,9.99,debt_consolidation,Fully Paid,60,B,2015-11-01
272,272,64068249,8000.0,5.32,debt_consolidation,Fully Paid,36,A,2015-11-01
273,273,63155959,10000.0,6.24,other,Fully Paid,36,A,2015-10-01
274,274,65752007,5700.0,12.59,credit_card,Fully Paid,36,C,2015-11-01
275,275,63336167,2000.0,16.99,debt_consolidation,Fully Paid,36,D,2015-10-01
276,276,64957789,5525.0,13.67,home_improvement,Fully Paid,36,C,2015-11-01
277,277,62599426,6000.0,5.32,home_improvement,Fully Paid,36,A,2015-10-01
278,278,63220659,28800.0,16.99,credit_card,Fully Paid,60,D,2015-10-01
279,279,62944333,13075.0,7.89,debt_consolidation,Fully Paid,36,A,2015-10-01
280,280,63184376,17600.0,9.99,debt_consolidation,Fully Paid,36,B,2015-10-01
281,281,64681753,35000.0,8.18,credit_card,Fully Paid,36,B,2015-11-01
282,282,65751410,15000.0,6.24,debt_consolidation,Fully Paid,36,A,2015-11-01
283,283,65593757,5600.0,11.49,debt_consolidation,Fully Paid,36,B,2015-11-01
284,284,64050200,20000.0,12.59,major_purchase,Current,60,C,2015-11-01
285,285,63388343,35000.0,12.29,debt_consolidation,Charged Off,60,C,2015-10-01
286,286,63446947,4925.0,6.24,major_purchase,Fully Paid,36,A,2015-10-01
287,287,64240623,18475.0,16.55,debt_consolidation,Current,60,D,2015-11-01
288,288,65087578,18000.0,13.18,debt_consolidation,Current,60,C,2015-11-01
289,289,63890028,4500.0,7.26,debt_consolidation,Fully Paid,36,A,2015-11-01
290,290,63124420,6000.0,12.69,credit_card,Fully Paid,36,C,2015-10-01
291,291,62824826,25000.0,7.26,debt_consolidation,Current,60,A,2015-10-01
292,292,65462248,16000.0,13.18,home_improvement,Late (31-120 days),60,C,2015-11-01
293,293,64913237,8975.0,16.55,debt_consolidation,Charged Off,36,D,2015-11-01
294,294,61913073,9600.0,10.99,debt_consolidation,Fully Paid,36,B,2015-10-01
295,295,63957479,20000.0,12.05,debt_consolidation,Fully Paid,36,C,2015-11-01
296,296,63184276,17500.0,12.29,debt_consolidation,Fully Paid,60,C,2015-10-01
297,297,62694236,5000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-10-01
298,298,63569407,14800.0,13.99,credit_card,Current,60,C,2015-10-01
299,299,65752213,20400.0,6.24,credit_card,Charged Off,36,A,2015-11-01
300,300,64671425,3000.0,9.99,debt_consolidation,Fully Paid,36,B,2015-11-01
301,301,65353676,20600.0,19.99,debt_consolidation,Current,60,E,2015-11-01
302,302,65097724,8975.0,7.26,debt_consolidation,Fully Paid,36,A,2015-11-01
303,303,65170647,23425.0,13.18,debt_consolidation,Fully Paid,36,C,2015-11-01
304,304,63348245,32000.0,9.99,home_improvement,Fully Paid,36,B,2015-11-01
305,305,63489551,30000.0,13.99,credit_card,Current,60,C,2015-10-01
306,306,63177867,19000.0,15.61,debt_consolidation,Current,60,D,2015-10-01
307,307,63325345,2975.0,15.61,debt_consolidation,Fully Paid,36,D,2015-10-01
308,308,63467079,28000.0,12.69,debt_consolidation,Current,60,C,2015-10-01
309,309,62579766,25000.0,16.55,credit_card,Current,60,D,2015-10-01
310,310,63490175,20000.0,9.99,credit_card,Fully Paid,36,B,2015-10-01
311,311,65435017,12000.0,11.49,other,Fully Paid,36,B,2015-11-01
312,312,65504498,9000.0,12.59,credit_card,Fully Paid,36,C,2015-11-01
313,313,62509801,12000.0,14.65,debt_consolidation,Fully Paid,36,C,2015-10-01
314,314,65252050,5000.0,10.99,credit_card,Fully Paid,36,B,2015-11-01
315,315,63877281,7000.0,8.18,credit_card,Fully Paid,36,B,2015-11-01
316,316,65159130,30000.0,12.05,debt_consolidation,Fully Paid,36,C,2015-11-01
317,317,65762026,2200.0,14.33,credit_card,Fully Paid,36,C,2015-11-01
318,318,63187172,15500.0,9.99,credit_card,Fully Paid,36,B,2015-10-01
319,319,64008412,15000.0,7.26,debt_consolidation,Fully Paid,36,A,2015-11-01
320,320,65047443,10200.0,13.18,credit_card,Fully Paid,60,C,2015-11-01
321,321,63180797,17000.0,16.55,debt_consolidation,Charged Off,60,D,2015-11-01
322,322,65422627,12000.0,5.32,car,Fully Paid,36,A,2015-11-01
323,323,64087886,18275.0,13.67,credit_card,Fully Paid,36,C,2015-11-01
324,324,63486841,24800.0,14.33,debt_consolidation,Fully Paid,60,C,2015-11-01
325,325,63495746,20000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-10-01
326,326,63464394,19000.0,10.99,debt_consolidation,Charged Off,36,B,2015-10-01
327,327,63417049,4200.0,16.55,other,Fully Paid,36,D,2015-10-01
328,328,63742577,2000.0,16.55,other,Charged Off,36,D,2015-11-01
329,329,64852554,15000.0,12.59,credit_card,Fully Paid,60,C,2015-11-01
330,330,63742700,17000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-11-01
331,331,65353916,10000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-11-01
332,332,64098585,13000.0,12.05,debt_consolidation,Current,60,C,2015-11-01
333,333,63508739,2775.0,13.99,debt_consolidation,Fully Paid,36,C,2015-10-01
334,334,63477201,15000.0,16.55,home_improvement,Fully Paid,60,D,2015-10-01
335,335,63446906,10000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-10-01
336,336,61943207,22000.0,13.33,debt_consolidation,Fully Paid,60,C,2015-10-01
337,337,62714221,13000.0,25.78,debt_consolidation,Fully Paid,60,F,2015-10-01
338,338,65412878,9000.0,8.18,credit_card,Fully Paid,36,B,2015-11-01
339,339,62549355,25000.0,15.61,credit_card,Charged Off,60,D,2015-10-01
340,340,63179060,35000.0,7.26,credit_card,Fully Paid,36,A,2015-11-01
