CustomerID,Name,AnnualIncome,EmploymentLength,CreditScore,HomeOwnership,State,VerificationStatus
44,Customer_65906157,135000.0,10.0,737,MORTGAGE,CT,Source Verified
45,Customer_66422203,36000.0,2.0,752,RENT,FL,Source Verified
46,Customer_65777641,78000.0,10.0,677,MORTGAGE,CT,Not Verified
47,Customer_67398509,42000.0,,667,MORTGAGE,OH,Source Verified
48,Customer_66592702,200000.0,4.0,707,MORTGAGE,NC,Verified
49,Customer_65686867,69000.0,10.0,697,MORTGAGE,MS,Verified
50,Customer_67287278,140000.0,6.0,667,MORTGAGE,IN,Source Verified
51,Customer_66445017,110000.0,1.0,747,MORTGAGE,MA,Source Verified
52,Customer_66015332,48500.0,10.0,687,RENT,FL,Not Verified
53,Customer_68484228,109000.0,0.0,667,RENT,MD,Verified
54,Customer_65955403,40000.0,1.0,697,RENT,NY,Verified
55,Customer_67328218,289999.0,5.0,667,OWN,KS,Source Verified
56,Customer_65754284,160000.0,1.0,662,MORTGAGE,TN,Verified
57,Customer_66422333,40000.0,10.0,672,MORTGAGE,PA,Verified
58,Customer_65725998,55900.0,,692,RENT,FL,Verified
59,Customer_65775872,45000.0,1.0,692,RENT,NY,Source Verified
60,Customer_67287296,145000.0,,677,MORTGAGE,NV,Source Verified
61,Customer_68353570,70000.0,5.0,702,RENT,CA,Not Verified
62,Customer_66624293,105000.0,10.0,707,MORTGAGE,GA,Source Verified
63,Customer_66595533,65538.2,6.0,752,MORTGAGE,VT,Not Verified
64,Customer_66580199,92000.0,10.0,747,MORTGAGE,IN,Source Verified
65,Customer_65946749,125000.0,4.0,687,MORTGAGE,TX,Source Verified
66,Customer_66505900,95000.0,5.0,692,MORTGAGE,MA,Source Verified
67,Customer_67347360,60000.0,0.0,672,MORTGAGE,MI,Not Verified
68,Customer_66606528,80000.0,3.0,672,MORTGAGE,CA,Verified
69,Customer_65656274,64565.0,10.0,672,MORTGAGE,SC,Source Verified
70,Customer_65785117,13000.0,1.0,712,RENT,WI,Verified
71,Customer_67725884,75000.0,2.0,667,RENT,IL,Source Verified
72,Customer_67456380,13000.0,,677,RENT,MS,Verified
73,Customer_65703987,50000.0,4.0,752,RENT,IL,Source Verified
74,Customer_66633889,60000.0,,677,MORTGAGE,OH,Verified
75,Customer_65617234,66000.0,,702,RENT,NY,Verified
76,Customer_65794115,34000.0,10.0,772,MORTGAGE,TX,Not Verified
77,Customer_66520891,75000.0,10.0,717,MORTGAGE,OK,Not Verified
78,Customer_68614738,40000.0,0.0,662,RENT,CA,Not Verified
79,Customer_67346936,110000.0,10.0,662,MORTGAGE,VA,Source Verified
80,Customer_67999580,50000.0,10.0,677,MORTGAGE,FL,Verified
81,Customer_67215965,59000.0,1.0,712,RENT,NC,Source Verified
82,Customer_67308865,150000.0,10.0,687,MORTGAGE,NJ,Verified
83,Customer_66531931,16040.0,,672,OWN,MO,Verified
84,Customer_66621129,52000.0,10.0,687,MORTGAGE,NC,Source Verified
85,Customer_65118681,50000.0,10.0,687,MORTGAGE,KY,Not Verified
86,Customer_65644386,50000.0,1.0,662,RENT,IN,Source Verified
87,Customer_65747886,63000.0,10.0,697,OWN,CO,Source Verified
88,Customer_65704965,40000.0,6.0,677,MORTGAGE,AL,Verified
89,Customer_66412411,38500.0,6.0,672,OWN,FL,Verified
90,Customer_68553256,100000.0,2.0,662,RENT,CA,Verified
91,Customer_68292712,60000.0,2.0,682,RENT,CA,Source Verified
92,Customer_65624929,32000.0,2.0,667,RENT,CA,Verified
93,Customer_68342924,78000.0,,672,MORTGAGE,NY,Not Verified
94,Customer_12479284,54000.0,10.0,677,OWN,IN,Source Verified
95,Customer_67397431,80000.0,,677,MORTGAGE,KS,Verified
96,Customer_66410952,111000.0,8.0,662,RENT,RI,Source Verified
97,Customer_65926871,50000.0,7.0,722,RENT,MD,Source Verified
98,Customer_66564695,90000.0,8.0,677,MORTGAGE,WA,Source Verified
99,Customer_67478009,32000.0,1.0,747,MORTGAGE,FL,Not Verified
100,Customer_65926487,55000.0,10.0,672,MORTGAGE,PA,Source Verified
101,Customer_68018370,52000.0,10.0,667,MORTGAGE,GA,Source Verified
102,Customer_66483997,90000.0,2.0,712,MORTGAGE,AL,Not Verified
103,Customer_66552287,30000.0,10.0,667,RENT,GA,Verified
104,Customer_64320803,105000.0,6.0,732,MORTGAGE,WA,Verified
105,Customer_66025793,65000.0,10.0,687,MORTGAGE,FL,Not Verified
106,Customer_66340697,22000.0,,782,RENT,WY,Verified
107,Customer_66563063,55000.0,4.0,717,RENT,NJ,Source Verified
108,Customer_67347161,76000.0,10.0,677,MORTGAGE,KY,Source Verified
109,Customer_66572934,67500.0,10.0,662,MORTGAGE,IL,Source Verified
110,Customer_67849885,49000.0,10.0,677,RENT,WA,Verified
111,Customer_66485004,85000.0,0.0,682,MORTGAGE,TX,Source Verified
112,Customer_66430833,125000.0,5.0,722,RENT,NY,Source Verified
113,Customer_66240736,99118.0,,707,MORTGAGE,CO,Verified
114,Customer_66056568,56000.0,10.0,667,MORTGAGE,TX,Verified
115,Customer_65665501,40000.0,7.0,717,RENT,WA,Not Verified
116,Customer_65693572,50000.0,9.0,697,MORTGAGE,NE,Not Verified
117,Customer_68018706,81500.0,6.0,747,MORTGAGE,KY,Not Verified
118,Customer_66025950,95000.0,10.0,707,MORTGAGE,PA,Source Verified
119,Customer_66543042,62000.0,10.0,717,MORTGAGE,NJ,Not Verified
120,Customer_65796875,36000.0,2.0,672,MORTGAGE,NY,Source Verified
121,Customer_66461373,43000.0,5.0,752,MORTGAGE,MA,Source Verified
122,Customer_68252229,45000.0,5.0,667,RENT,NY,Source Verified
123,Customer_66410459,40000.0,7.0,727,OWN,CA,Verified
124,Customer_65865956,43000.0,1.0,722,RENT,SC,Not Verified
125,Customer_66612416,83000.0,9.0,767,OWN,WI,Source Verified
126,Customer_67165169,110000.0,9.0,697,MORTGAGE,WA,Source Verified
127,Customer_67415819,97900.0,6.0,787,OWN,AZ,Source Verified
128,Customer_65697475,150000.0,10.0,667,MORTGAGE,NY,Source Verified
129,Customer_65854516,104000.0,0.0,697,RENT,NY,Source Verified
130,Customer_67809321,75000.0,10.0,717,MORTGAGE,CA,Verified
131,Customer_67307935,35000.0,,702,RENT,TX,Not Verified
132,Customer_68323469,82000.0,0.0,672,MORTGAGE,OH,Verified
133,Customer_67378670,34008.0,0.0,687,MORTGAGE,AZ,Verified
134,Customer_65835968,76800.0,10.0,707,MORTGAGE,NY,Source Verified
135,Customer_66451102,100000.0,10.0,702,MORTGAGE,CA,Source Verified
136,Customer_68414976,120000.0,10.0,722,MORTGAGE,CT,Verified
137,Customer_66086392,70000.0,4.0,697,MORTGAGE,AZ,Verified
138,Customer_66610240,45000.0,9.0,727,OWN,OH,Verified
139,Customer_64822778,130000.0,10.0,707,RENT,CA,Not Verified
140,Customer_65964157,21000.0,2.0,707,OWN,TX,Source Verified
141,Customer_66350201,112000.0,10.0,662,MORTGAGE,NY,Verified
142,Customer_65677522,57726.0,7.0,712,OWN,VT,Source Verified
143,Customer_68383278,70000.0,3.0,717,RENT,GA,Not Verified
144,Customer_68544096,55000.0,1.0,692,MORTGAGE,CO,Source Verified
145,Customer_67715442,45300.0,2.0,662,RENT,CA,Verified
146,Customer_67005305,33500.0,0.0,662,RENT,TN,Verified
147,Customer_66104960,60000.0,,732,MORTGAGE,MI,Not Verified
148,Customer_67258738,50000.0,10.0,707,MORTGAGE,NC,Not Verified
149,Customer_68584649,46000.0,8.0,687,RENT,NY,Not Verified
150,Customer_66200859,150000.0,3.0,702,MORTGAGE,VA,Verified
151,Customer_65935418,228000.0,8.0,712,MORTGAGE,TX,Verified
152,Customer_66120844,144000.0,8.0,677,RENT,AZ,Verified
153,Customer_68112841,103000.0,2.0,667,MORTGAGE,IL,Source Verified
154,Customer_65483808,72000.0,9.0,717,OWN,NY,Source Verified
155,Customer_65727435,145000.0,2.0,752,MORTGAGE,VA,Verified
156,Customer_65804963,26133.48,,712,RENT,WI,Verified
157,Customer_67418222,105000.0,2.0,717,RENT,CT,Source Verified
158,Customer_66562204,72450.0,10.0,667,MORTGAGE,PA,Not Verified
159,Customer_67889044,60000.0,,677,MORTGAGE,NC,Verified
160,Customer_68072331,80000.0,1.0,732,MORTGAGE,CO,Not Verified
161,Customer_65796082,100000.0,9.0,717,MORTGAGE,TX,Not Verified
162,Customer_67248197,85000.0,0.0,687,RENT,PA,Verified
163,Customer_65731207,60000.0,10.0,702,MORTGAGE,CT,Not Verified
164,Customer_65956513,21008.0,0.0,792,MORTGAGE,KY,Not Verified
165,Customer_68192669,89000.0,2.0,667,RENT,TX,Source Verified
166,Customer_67980162,35000.0,0.0,672,OWN,CA,Source Verified
167,Customer_66641055,58975.0,7.0,687,RENT,CA,Verified
168,Customer_67899621,100000.0,10.0,807,MORTGAGE,MD,Not Verified
169,Customer_65975695,115000.0,8.0,712,RENT,MD,Verified
170,Customer_68524603,176000.0,0.0,707,MORTGAGE,MD,Source Verified
171,Customer_65637795,57800.0,1.0,732,RENT,NY,Source Verified
172,Customer_68262838,45000.0,9.0,702,MORTGAGE,IL,Verified
173,Customer_66665756,150000.0,10.0,662,OWN,PA,Source Verified
174,Customer_66602353,85000.0,10.0,702,MORTGAGE,MA,Not Verified
175,Customer_66055596,65000.0,2.0,767,MORTGAGE,GA,Not Verified
176,Customer_68376378,110000.0,2.0,737,MORTGAGE,MI,Verified
177,Customer_67287465,109000.0,10.0,697,OWN,PA,Not Verified
178,Customer_66611794,75000.0,10.0,682,MORTGAGE,FL,Source Verified
179,Customer_67318616,90000.0,10.0,717,OWN,NY,Not Verified
180,Customer_66464594,75000.0,10.0,692,MORTGAGE,FL,Not Verified
181,Customer_67005195,37000.0,1.0,712,RENT,TX,Verified
182,Customer_67267450,160000.0,10.0,662,MORTGAGE,TX,Source Verified
183,Customer_66515566,182000.0,0.0,677,MORTGAGE,KS,Source Verified
184,Customer_67317801,60000.0,10.0,662,RENT,MI,Source Verified
185,Customer_68535120,62000.0,3.0,712,RENT,MD,Not Verified
186,Customer_67256493,74500.0,10.0,667,MORTGAGE,PA,Source Verified
187,Customer_65613891,150000.0,3.0,742,MORTGAGE,CT,Source Verified
188,Customer_67426648,285000.0,7.0,682,MORTGAGE,WA,Verified
189,Customer_67115132,74000.0,10.0,692,MORTGAGE,GA,Source Verified
190,Customer_65836033,130000.0,4.0,677,MORTGAGE,TX,Source Verified
191,Customer_66435232,87400.0,10.0,707,MORTGAGE,PA,Not Verified
192,Customer_65786229,95000.0,,687,OWN,CA,Not Verified
193,Customer_65843402,70000.0,0.0,672,RENT,IL,Verified
194,Customer_67848888,105000.0,10.0,662,MORTGAGE,IN,Source Verified
195,Customer_65646842,124900.0,6.0,707,RENT,SD,Verified
196,Customer_66056371,65000.0,2.0,697,RENT,NJ,Not Verified
197,Customer_66643586,52000.0,10.0,662,RENT,IL,Verified
198,Customer_65716035,38000.0,2.0,732,RENT,CA,Source Verified
199,Customer_67325338,108000.0,5.0,717,MORTGAGE,TX,Not Verified
200,Customer_66085047,127000.0,10.0,712,MORTGAGE,TX,Source Verified
201,Customer_66515796,90000.0,10.0,677,RENT,WA,Verified
202,Customer_66594824,172000.0,10.0,702,MORTGAGE,IN,Source Verified
203,Customer_66280824,68000.0,8.0,812,MORTGAGE,NV,Source Verified
204,Customer_65814299,55000.0,10.0,697,MORTGAGE,NJ,Not Verified
205,Customer_66120951,77843.0,10.0,672,RENT,MO,Source Verified
206,Customer_66641414,88182.0,10.0,667,RENT,CA,Verified
207,Customer_68010252,47000.0,2.0,687,RENT,TX,Source Verified
208,Customer_65645426,92000.0,10.0,667,MORTGAGE,MI,Verified
209,Customer_65635553,30000.0,10.0,687,MORTGAGE,KY,Verified
210,Customer_66643129,18000.0,,782,OWN,MI,Verified
211,Customer_65687069,45100.0,5.0,667,RENT,FL,Verified
212,Customer_65623924,50000.0,2.0,707,RENT,CO,Source Verified
213,Customer_66401469,45500.0,2.0,707,RENT,IL,Verified
214,Customer_65677468,95000.0,10.0,662,OWN,MD,Source Verified
215,Customer_66006770,103000.0,10.0,697,RENT,OK,Verified
216,Customer_65817177,75000.0,6.0,792,RENT,NY,Source Verified
217,Customer_67365645,75000.0,2.0,712,OWN,MI,Not Verified
218,Customer_65855058,40000.0,,692,RENT,MI,Verified
219,Customer_65906056,149500.0,1.0,677,MORTGAGE,WV,Source Verified
220,Customer_66574908,60660.0,,682,RENT,FL,Verified
221,Customer_66533539,50400.0,10.0,662,RENT,CA,Verified
222,Customer_63568965,495000.0,10.0,697,OWN,NJ,Source Verified
223,Customer_65462155,65000.0,10.0,662,RENT,MO,Not Verified
224,Customer_65763941,135000.0,0.0,722,MORTGAGE,TX,Not Verified
225,Customer_62266055,30000.0,10.0,702,RENT,GA,Not Verified
226,Customer_63476266,25000.0,5.0,712,RENT,VA,Source Verified
227,Customer_61902184,95000.0,3.0,702,MORTGAGE,MT,Not Verified
228,Customer_65058610,101000.0,4.0,727,RENT,TX,Verified
229,Customer_62509245,70000.0,3.0,687,MORTGAGE,GA,Verified
230,Customer_65791758,66000.0,10.0,682,MORTGAGE,OH,Not Verified
231,Customer_63398083,60000.0,10.0,707,OWN,TN,Source Verified
232,Customer_63054144,120000.0,10.0,767,MORTGAGE,FL,Not Verified
233,Customer_63327003,34000.0,1.0,732,MORTGAGE,CT,Not Verified
234,Customer_65313419,100000.0,10.0,682,RENT,NY,Source Verified
235,Customer_65762253,101800.0,3.0,667,RENT,VA,Verified
236,Customer_64230522,70000.0,0.0,697,RENT,WA,Not Verified
237,Customer_63651194,40000.0,4.0,712,MORTGAGE,OR,Source Verified
238,Customer_64978020,38000.0,10.0,762,RENT,VT,Not Verified
239,Customer_63528184,105000.0,4.0,682,OWN,IL,Verified
240,Customer_65069107,90000.0,10.0,722,MORTGAGE,TX,Source Verified
241,Customer_65039221,56000.0,,662,MORTGAGE,IL,Verified
242,Customer_65445151,30000.0,,717,RENT,NJ,Source Verified
243,Customer_64997538,40000.0,10.0,662,MORTGAGE,CA,Verified
244,Customer_65812558,104000.0,0.0,707,RENT,FL,Not Verified
245,Customer_65179859,45000.0,3.0,677,RENT,NY,Source Verified
246,Customer_65068835,80000.0,10.0,697,MORTGAGE,IL,Source Verified
247,Customer_64057605,35000.0,2.0,737,RENT,MO,Source Verified
248,Customer_63355115,105000.0,6.0,697,RENT,NJ,Source Verified
249,Customer_63339095,60000.0,10.0,692,OWN,TX,Not Verified
250,Customer_63517017,70200.0,3.0,692,MORTGAGE,LA,Verified
251,Customer_63488513,32000.0,2.0,707,RENT,MN,Verified
252,Customer_61883215,111500.0,2.0,672,RENT,MN,Source Verified
253,Customer_63868589,80000.0,8.0,707,MORTGAGE,NV,Verified
254,Customer_65551834,240000.0,10.0,697,MORTGAGE,TX,Source Verified
255,Customer_65682052,70000.0,10.0,712,MORTGAGE,IN,Source Verified
256,Customer_62854281,60000.0,2.0,692,RENT,MA,Source Verified
257,Customer_64240494,120000.0,10.0,672,OWN,NY,Source Verified
258,Customer_62569139,90000.0,6.0,662,RENT,CA,Source Verified
259,Customer_63464871,38000.0,10.0,662,RENT,NY,Source Verified
260,Customer_62510015,78000.0,10.0,697,MORTGAGE,IN,Not Verified
261,Customer_65472381,77402.0,8.0,697,MORTGAGE,NC,Verified
262,Customer_63385575,84000.0,8.0,687,MORTGAGE,OK,Verified
263,Customer_64079541,45000.0,10.0,687,RENT,FL,Source Verified
264,Customer_65463180,85000.0,2.0,732,MORTGAGE,AL,Verified
265,Customer_63215532,80000.0,10.0,827,MORTGAGE,MA,Source Verified
266,Customer_63160343,75000.0,8.0,697,RENT,WA,Verified
267,Customer_62439123,83500.0,10.0,782,MORTGAGE,TX,Verified
268,Customer_65018238,65000.0,9.0,662,RENT,NV,Source Verified
269,Customer_63877589,21000.0,9.0,692,RENT,CA,Verified
270,Customer_63621657,25000.0,2.0,702,RENT,ND,Source Verified
271,Customer_64842745,90000.0,4.0,687,MORTGAGE,OH,Not Verified
272,Customer_64068249,93800.0,4.0,762,RENT,MN,Not Verified
273,Customer_63155959,150000.0,10.0,777,OWN,IL,Not Verified
274,Customer_65752007,13000.0,,712,RENT,OH,Verified
275,Customer_63336167,112000.0,8.0,692,MORTGAGE,WA,Source Verified
276,Customer_64957789,28000.0,10.0,672,MORTGAGE,NJ,Not Verified
277,Customer_62599426,60000.0,9.0,747,MORTGAGE,MN,Source Verified
278,Customer_63220659,60000.0,10.0,702,MORTGAGE,NV,Source Verified
279,Customer_62944333,68000.0,10.0,707,MORTGAGE,CA,Source Verified
280,Customer_63184376,40000.0,10.0,707,RENT,FL,Verified
281,Customer_64681753,114040.0,10.0,707,MORTGAGE,GA,Source Verified
282,Customer_65751410,160000.0,10.0,737,RENT,TX,Not Verified
283,Customer_65593757,31460.0,8.0,682,RENT,FL,Verified
284,Customer_64050200,75000.0,8.0,707,MORTGAGE,PA,Source Verified
285,Customer_63388343,133000.0,2.0,727,MORTGAGE,IL,Source Verified
286,Customer_63446947,55000.0,,797,MORTGAGE,TN,Not Verified
287,Customer_64240623,55000.0,4.0,677,RENT,NY,Source Verified
288,Customer_65087578,70000.0,10.0,692,MORTGAGE,VA,Verified
289,Customer_63890028,109000.0,10.0,682,MORTGAGE,NY,Verified
290,Customer_63124420,32000.0,10.0,717,MORTGAGE,OH,Source Verified
291,Customer_62824826,80000.0,,707,MORTGAGE,IN,Not Verified
292,Customer_65462248,70000.0,10.0,662,OWN,NC,Source Verified
293,Customer_64913237,18600.0,2.0,667,OWN,MI,Verified
294,Customer_61913073,50000.0,1.0,682,RENT,OH,Source Verified
295,Customer_63957479,143000.0,10.0,682,MORTGAGE,VA,Source Verified
296,Customer_63184276,35000.0,3.0,677,MORTGAGE,NY,Source Verified
297,Customer_62694236,26000.0,,662,OWN,ND,Not Verified
298,Customer_63569407,48000.0,0.0,702,RENT,MS,Source Verified
299,Customer_65752213,100000.0,10.0,747,MORTGAGE,MI,Not Verified
300,Customer_64671425,143000.0,10.0,677,MORTGAGE,MI,Source Verified
301,Customer_65353676,70000.0,10.0,692,MORTGAGE,TX,Source Verified
302,Customer_65097724,90000.0,8.0,697,RENT,NY,Source Verified
303,Customer_65170647,74500.0,8.0,707,MORTGAGE,WI,Not Verified
304,Customer_63348245,72000.0,10.0,727,MORTGAGE,GA,Verified
305,Customer_63489551,73500.0,8.0,712,RENT,CT,Source Verified
306,Customer_63177867,45000.0,3.0,687,RENT,GA,Source Verified
307,Customer_63325345,37000.0,5.0,662,MORTGAGE,WI,Verified
308,Customer_63467079,160000.0,10.0,692,RENT,CA,Not Verified
309,Customer_62579766,90000.0,4.0,707,OWN,TX,Verified
310,Customer_63490175,51000.0,3.0,707,MORTGAGE,TX,Source Verified
311,Customer_65435017,111800.0,3.0,687,OWN,PA,Not Verified
312,Customer_65504498,45000.0,0.0,712,MORTGAGE,PA,Not Verified
313,Customer_62509801,30000.0,4.0,697,OWN,NY,Source Verified
314,Customer_65252050,35000.0,0.0,662,RENT,FL,Source Verified
315,Customer_63877281,53000.0,10.0,672,MORTGAGE,VA,Source Verified
316,Customer_65159130,155000.0,10.0,682,MORTGAGE,MI,Source Verified
317,Customer_65762026,30000.0,3.0,662,RENT,CO,Source Verified
318,Customer_63187172,62000.0,2.0,687,RENT,OK,Source Verified
319,Customer_64008412,95000.0,10.0,812,MORTGAGE,SD,Not Verified
320,Customer_65047443,45000.0,10.0,672,MORTGAGE,CT,Source Verified
321,Customer_63180797,47000.0,1.0,687,RENT,ND,Verified
322,Customer_65422627,136000.0,2.0,717,RENT,CA,Verified
323,Customer_64087886,56750.0,4.0,682,MORTGAGE,IL,Verified
324,Customer_63486841,158000.0,0.0,707,MORTGAGE,CO,Not Verified
325,Customer_63495746,75000.0,10.0,677,MORTGAGE,FL,Source Verified
326,Customer_63464394,80000.0,10.0,682,MORTGAGE,PA,Source Verified
327,Customer_63417049,42000.0,3.0,662,RENT,IL,Verified
328,Customer_63742577,41280.0,1.0,697,RENT,OK,Verified
329,Customer_64852554,50000.0,10.0,677,MORTGAGE,FL,Source Verified
330,Customer_63742700,66000.0,10.0,672,RENT,CA,Source Verified
331,Customer_65353916,50000.0,9.0,677,MORTGAGE,TX,Not Verified
332,Customer_64098585,70000.0,3.0,727,RENT,AR,Not Verified
333,Customer_63508739,24000.0,10.0,677,RENT,CA,Not Verified
334,Customer_63477201,72000.0,10.0,727,MORTGAGE,CA,Not Verified
335,Customer_63446906,50000.0,2.0,662,MORTGAGE,UT,Verified
336,Customer_61943207,72000.0,10.0,802,RENT,NY,Source Verified
337,Customer_62714221,47000.0,10.0,702,MORTGAGE,IN,Verified
338,Customer_65412878,72000.0,10.0,712,MORTGAGE,CA,Not Verified
339,Customer_62549355,60000.0,10.0,697,MORTGAGE,FL,Not Verified
340,Customer_63179060,140000.0,10.0,697,MORTGAGE,NY,Source Verified
341,Customer_63254404,55000.0,0.0,672,RENT,IN,Source Verified
342,Customer_61323138,57000.0,7.0,692,MORTGAGE,NM,Verified
343,Customer_65434281,74000.0,3.0,712,MORTGAGE,MA,Not Verified
344,Customer_63468500,40000.0,5.0,697,RENT,CA,Source Verified
345,Customer_63401080,105000.0,2.0,707,OWN,CO,Source Verified
346,Customer_64751482,80000.0,2.0,672,MORTGAGE,IN,Verified
347,Customer_63580305,35000.0,3.0,702,RENT,NV,Source Verified
348,Customer_65160512,24100.0,10.0,697,RENT,MT,Verified
349,Customer_62924411,60000.0,6.0,707,MORTGAGE,FL,Verified
350,Customer_63436759,41500.0,10.0,692,RENT,CT,Verified
351,Customer_65088333,97000.0,2.0,662,RENT,NY,Source Verified
352,Customer_65160802,120000.0,2.0,702,RENT,NY,Source Verified
353,Customer_65571200,79040.0,0.0,667,RENT,GA,Verified
354,Customer_64681216,42000.0,2.0,747,RENT,MD,Not Verified
355,Customer_63204188,33000.0,7.0,677,MORTGAGE,KS,Verified
356,Customer_62377566,175000.0,0.0,677,MORTGAGE,IL,Source Verified
357,Customer_65822525,36775.0,9.0,677,MORTGAGE,MI,Source Verified
358,Customer_62724765,52000.0,2.0,722,RENT,NY,Not Verified
359,Customer_63510291,37000.0,2.0,692,RENT,CA,Source Verified
360,Customer_61464485,75000.0,10.0,677,MORTGAGE,OH,Source Verified
361,Customer_63465025,520000.0,10.0,697,MORTGAGE,LA,Verified
362,Customer_63337807,26000.0,1.0,672,OWN,MD,Source Verified
363,Customer_65344626,68000.0,8.0,742,OWN,NY,Verified
364,Customer_65294838,103000.0,9.0,697,RENT,OR,Verified
365,Customer_65641224,23000.0,5.0,707,RENT,IL,Source Verified
366,Customer_65048867,78000.0,10.0,662,MORTGAGE,FL,Source Verified
367,Customer_64050160,45000.0,3.0,662,MORTGAGE,NE,Source Verified
368,Customer_63355839,85000.0,,722,MORTGAGE,CA,Not Verified
369,Customer_64771680,88000.0,10.0,662,MORTGAGE,AL,Source Verified
370,Customer_65514986,133000.0,1.0,702,MORTGAGE,WA,Source Verified
371,Customer_63178230,60000.0,8.0,712,RENT,FL,Not Verified
372,Customer_63356318,142000.0,10.0,677,MORTGAGE,SC,Source Verified
373,Customer_63156410,78000.0,3.0,687,RENT,CA,Verified
374,Customer_65384548,60000.0,2.0,692,MORTGAGE,AZ,Source Verified
375,Customer_63457327,110000.0,10.0,722,MORTGAGE,PA,Source Verified
376,Customer_63524398,63000.0,10.0,677,RENT,FL,Verified
377,Customer_62489788,200000.0,2.0,687,MORTGAGE,MO,Verified
378,Customer_64691624,272000.0,9.0,707,MORTGAGE,IL,Source Verified
379,Customer_63470039,109325.0,1.0,757,MORTGAGE,AK,Not Verified
380,Customer_64230661,49000.0,10.0,667,MORTGAGE,IN,Source Verified
381,Customer_65284803,123000.0,2.0,692,MORTGAGE,CO,Source Verified
382,Customer_63094285,70000.0,10.0,737,MORTGAGE,WA,Source Verified
383,Customer_65117648,108000.0,10.0,677,RENT,CA,Verified
384,Customer_62107149,63000.0,9.0,702,OWN,TX,Not Verified
385,Customer_63927523,53000.0,4.0,672,MORTGAGE,NY,Source Verified
386,Customer_65200131,37502.0,4.0,702,MORTGAGE,NM,Source Verified
387,Customer_65362137,65000.0,10.0,702,OWN,CA,Verified
388,Customer_63389443,25251.0,6.0,667,MORTGAGE,MS,Verified
389,Customer_65445140,250000.0,10.0,742,MORTGAGE,NY,Verified
390,Customer_64099001,38000.0,7.0,677,RENT,CA,Verified
391,Customer_65343370,32000.0,2.0,682,MORTGAGE,IN,Source Verified
392,Customer_63524630,45700.0,2.0,692,RENT,FL,Source Verified
393,Customer_65464740,30000.0,0.0,707,MORTGAGE,CO,Verified
394,Customer_65179643,100000.0,6.0,707,MORTGAGE,AL,Verified
