RiskID,LoanID,DTI,Delinquencies,CreditInquiries,RevolvingUtilization,PublicRecords,OpenAccounts,TotalAccounts,DefaultPrediction
123,123,30.3,0.0,0.0,41.2,0.0,12.0,18.0,No
124,124,19.15,0.0,0.0,67.8,0.0,5.0,14.0,Yes
125,125,21.74,0.0,0.0,47.0,0.0,14.0,32.0,No
126,126,24.05,0.0,2.0,56.4,0.0,18.0,35.0,Yes
127,127,19.75,0.0,0.0,25.0,0.0,14.0,28.0,No
128,128,18.82,0.0,0.0,63.2,1.0,9.0,28.0,No
129,129,4.99,0.0,0.0,82.2,0.0,5.0,9.0,No
130,130,27.3,0.0,2.0,15.8,0.0,15.0,28.0,No
131,131,35.46,1.0,0.0,25.5,0.0,11.0,28.0,Yes
132,132,26.36,0.0,0.0,69.5,0.0,30.0,38.0,No
133,133,21.28,0.0,0.0,58.9,0.0,5.0,7.0,No
134,134,29.77,0.0,0.0,56.4,0.0,14.0,32.0,No
135,135,6.97,0.0,2.0,78.2,2.0,7.0,11.0,No
136,136,35.56,0.0,1.0,63.0,0.0,26.0,54.0,No
137,137,22.48,0.0,0.0,86.5,0.0,10.0,33.0,No
138,138,18.61,0.0,0.0,45.0,0.0,6.0,8.0,No
139,139,19.49,0.0,1.0,45.4,0.0,9.0,15.0,No
140,140,33.54,0.0,0.0,66.1,0.0,7.0,16.0,No
141,141,22.42,2.0,1.0,95.0,0.0,14.0,20.0,No
142,142,20.31,0.0,1.0,23.5,1.0,12.0,26.0,No
143,143,1.29,0.0,0.0,7.9,0.0,20.0,20.0,No
144,144,14.97,1.0,0.0,14.3,0.0,15.0,33.0,No
145,145,21.25,0.0,1.0,79.2,0.0,10.0,18.0,Yes
146,146,23.54,0.0,0.0,101.6,0.0,5.0,10.0,No
147,147,36.98,0.0,0.0,5.5,0.0,15.0,30.0,Yes
148,148,26.67,0.0,0.0,67.7,0.0,10.0,15.0,Yes
149,149,16.57,0.0,0.0,58.4,1.0,9.0,11.0,No
150,150,32.55,0.0,2.0,74.1,0.0,27.0,48.0,No
151,151,22.61,0.0,0.0,45.9,0.0,17.0,43.0,No
152,152,18.69,0.0,0.0,86.6,0.0,9.0,26.0,No
153,153,13.74,4.0,0.0,70.6,0.0,12.0,36.0,No
154,154,23.12,0.0,1.0,43.8,0.0,16.0,22.0,No
155,155,12.94,0.0,0.0,40.4,0.0,11.0,13.0,No
156,156,17.68,0.0,1.0,63.8,0.0,8.0,16.0,Yes
157,157,22.81,0.0,2.0,45.9,0.0,19.0,27.0,Yes
158,158,19.89,2.0,0.0,72.3,0.0,7.0,18.0,Yes
159,159,23.44,1.0,0.0,37.0,0.0,16.0,24.0,No
160,160,13.22,0.0,0.0,46.5,0.0,10.0,16.0,No
161,161,32.73,0.0,0.0,26.5,0.0,19.0,41.0,No
162,162,15.42,0.0,0.0,95.3,0.0,10.0,28.0,No
163,163,9.74,0.0,1.0,60.6,0.0,8.0,21.0,No
164,164,38.11,0.0,0.0,26.6,0.0,10.0,27.0,No
165,165,10.45,0.0,0.0,92.1,0.0,6.0,9.0,No
166,166,33.95,0.0,0.0,48.1,1.0,13.0,20.0,No
167,167,18.68,1.0,3.0,71.5,0.0,10.0,17.0,Yes
168,168,19.33,0.0,0.0,15.1,0.0,19.0,30.0,No
169,169,23.8,1.0,0.0,34.5,0.0,17.0,37.0,No
170,170,15.91,0.0,0.0,90.8,0.0,9.0,18.0,No
171,171,14.31,0.0,0.0,38.9,0.0,12.0,14.0,No
172,172,20.83,0.0,1.0,78.0,0.0,12.0,14.0,No
173,173,22.16,1.0,0.0,82.9,0.0,13.0,27.0,No
174,174,32.52,0.0,0.0,82.9,0.0,10.0,23.0,No
175,175,15.05,0.0,0.0,24.0,0.0,10.0,20.0,No
176,176,20.82,0.0,0.0,34.6,0.0,15.0,35.0,No
177,177,29.63,1.0,0.0,50.7,0.0,9.0,14.0,No
178,178,12.37,0.0,1.0,51.1,1.0,14.0,40.0,No
179,179,13.6,0.0,0.0,50.0,0.0,14.0,31.0,No
180,180,20.99,1.0,2.0,31.2,0.0,21.0,40.0,No
181,181,32.76,0.0,0.0,55.7,0.0,11.0,44.0,Yes
182,182,13.77,4.0,0.0,95.1,0.0,8.0,50.0,Yes
183,183,25.54,0.0,0.0,83.0,0.0,27.0,54.0,Yes
184,184,3.64,0.0,1.0,49.0,0.0,5.0,12.0,No
185,185,34.59,0.0,0.0,71.4,0.0,12.0,23.0,No
186,186,30.42,0.0,1.0,69.2,0.0,20.0,33.0,Yes
187,187,9.66,0.0,0.0,28.7,0.0,23.0,43.0,No
188,188,11.84,2.0,0.0,98.1,0.0,10.0,20.0,No
189,189,34.83,0.0,0.0,49.4,0.0,9.0,28.0,No
190,190,2.55,1.0,0.0,21.0,0.0,7.0,11.0,No
191,191,13.99,0.0,0.0,50.9,1.0,7.0,23.0,No
192,192,13.13,0.0,1.0,61.5,1.0,13.0,36.0,No
193,193,27.33,0.0,1.0,45.5,1.0,14.0,27.0,Yes
194,194,35.18,1.0,1.0,82.3,0.0,18.0,30.0,No
195,195,27.07,0.0,1.0,84.7,0.0,19.0,24.0,No
196,196,16.44,0.0,0.0,26.7,1.0,13.0,19.0,No
197,197,24.86,0.0,3.0,44.6,0.0,20.0,39.0,No
198,198,12.44,0.0,0.0,44.5,0.0,9.0,12.0,No
199,199,14.13,1.0,0.0,37.8,0.0,11.0,18.0,No
200,200,18.3,8.0,0.0,6.3,1.0,22.0,55.0,No
201,201,13.21,0.0,1.0,48.0,0.0,6.0,17.0,No
202,202,6.18,0.0,1.0,30.1,3.0,23.0,32.0,Yes
203,203,9.73,0.0,0.0,14.6,0.0,13.0,26.0,No
204,204,24.1,0.0,0.0,80.3,0.0,12.0,32.0,No
205,205,9.34,0.0,0.0,48.6,0.0,6.0,18.0,No
206,206,13.44,0.0,0.0,96.4,0.0,6.0,7.0,No
207,207,10.96,0.0,0.0,63.7,0.0,7.0,22.0,No
208,208,17.28,0.0,0.0,76.3,1.0,8.0,15.0,No
209,209,26.88,0.0,1.0,68.6,0.0,7.0,25.0,No
210,210,3.67,0.0,0.0,14.6,0.0,3.0,8.0,No
211,211,13.2,0.0,1.0,3.5,0.0,7.0,10.0,No
212,212,27.2,0.0,0.0,82.0,0.0,7.0,18.0,No
213,213,19.28,0.0,0.0,39.0,0.0,26.0,45.0,Yes
214,214,35.69,0.0,0.0,81.0,2.0,12.0,26.0,Yes
215,215,23.4,2.0,0.0,35.9,0.0,14.0,20.0,No
216,216,10.11,0.0,0.0,7.5,0.0,7.0,28.0,No
217,217,28.98,0.0,1.0,32.8,0.0,21.0,37.0,No
218,218,18.03,0.0,0.0,92.0,0.0,7.0,11.0,No
219,219,12.78,0.0,0.0,66.4,1.0,11.0,17.0,No
220,220,25.97,0.0,0.0,68.6,0.0,11.0,16.0,No
221,221,34.36,1.0,0.0,58.0,1.0,11.0,19.0,Yes
222,222,9.0,1.0,0.0,70.4,0.0,20.0,41.0,Yes
223,223,13.05,0.0,0.0,69.1,1.0,9.0,22.0,No
224,224,25.42,0.0,0.0,39.1,0.0,15.0,24.0,Yes
225,225,8.2,0.0,0.0,28.4,0.0,6.0,8.0,No
226,226,13.87,0.0,0.0,34.8,0.0,10.0,17.0,No
227,227,10.54,0.0,0.0,41.9,0.0,14.0,26.0,No
228,228,7.05,0.0,1.0,8.2,1.0,11.0,14.0,No
229,229,12.55,0.0,0.0,86.4,0.0,7.0,23.0,No
230,230,36.67,0.0,2.0,99.1,2.0,8.0,26.0,No
231,231,18.32,0.0,0.0,36.5,0.0,9.0,16.0,No
232,232,11.96,0.0,0.0,56.1,0.0,6.0,21.0,No
233,233,4.62,0.0,0.0,43.0,0.0,3.0,6.0,No
234,234,9.28,1.0,0.0,24.0,2.0,14.0,17.0,No
235,235,19.47,0.0,1.0,99.0,0.0,7.0,17.0,No
236,236,26.05,0.0,0.0,60.2,0.0,12.0,30.0,No
237,237,34.77,0.0,0.0,21.9,0.0,19.0,32.0,No
238,238,19.61,0.0,0.0,38.1,0.0,4.0,8.0,No
239,239,27.76,0.0,2.0,70.0,0.0,16.0,29.0,No
240,240,20.81,0.0,0.0,39.4,0.0,14.0,33.0,No
241,241,24.09,0.0,2.0,5.8,1.0,22.0,36.0,No
242,242,24.24,0.0,0.0,53.4,0.0,9.0,18.0,Yes
243,243,22.92,0.0,0.0,57.3,0.0,17.0,29.0,No
244,244,20.79,0.0,0.0,46.7,0.0,28.0,35.0,No
245,245,18.99,0.0,1.0,60.6,1.0,12.0,27.0,No
246,246,14.61,1.0,0.0,67.2,0.0,9.0,12.0,No
247,247,10.08,0.0,1.0,0.0,0.0,20.0,23.0,No
248,248,11.84,0.0,0.0,53.4,0.0,15.0,25.0,No
249,249,28.74,0.0,1.0,89.1,0.0,13.0,48.0,Yes
250,250,32.14,0.0,1.0,20.0,0.0,16.0,19.0,No
251,251,15.23,0.0,2.0,53.9,0.0,8.0,29.0,No
252,252,15.9,0.0,2.0,82.5,2.0,15.0,31.0,No
253,253,28.01,0.0,0.0,45.5,0.0,14.0,24.0,Yes
254,254,8.34,1.0,1.0,69.2,0.0,10.0,20.0,No
255,255,13.97,1.0,0.0,64.5,0.0,10.0,19.0,No
256,256,16.8,0.0,2.0,35.6,1.0,13.0,25.0,Yes
257,257,24.41,1.0,0.0,66.4,0.0,19.0,31.0,No
258,258,20.53,0.0,0.0,98.2,0.0,8.0,19.0,No
259,259,4.99,0.0,0.0,86.3,0.0,4.0,5.0,No
260,260,23.72,0.0,0.0,83.0,1.0,11.0,26.0,No
261,261,15.47,1.0,2.0,72.0,0.0,10.0,20.0,Yes
262,262,29.03,3.0,1.0,59.3,0.0,11.0,34.0,No
263,263,13.87,0.0,3.0,12.8,1.0,9.0,30.0,Yes
264,264,17.32,0.0,1.0,37.0,0.0,18.0,38.0,No
265,265,11.76,0.0,1.0,2.0,0.0,28.0,53.0,No
266,266,18.14,0.0,1.0,51.0,0.0,9.0,30.0,No
267,267,6.81,0.0,0.0,0.0,0.0,5.0,9.0,No
268,268,15.2,0.0,0.0,60.8,0.0,8.0,16.0,No
269,269,39.54,0.0,0.0,59.8,0.0,13.0,16.0,No
270,270,23.14,0.0,0.0,36.1,0.0,13.0,21.0,No
271,271,19.95,0.0,0.0,19.9,0.0,20.0,30.0,No
272,272,14.99,1.0,0.0,14.9,0.0,8.0,38.0,No
273,273,8.35,0.0,2.0,31.0,0.0,9.0,26.0,No
274,274,14.31,0.0,0.0,80.6,0.0,3.0,7.0,No
275,275,19.08,0.0,4.0,92.8,1.0,12.0,31.0,No
276,276,11.19,0.0,3.0,43.0,1.0,5.0,30.0,No
277,277,0.54,0.0,0.0,6.0,0.0,4.0,13.0,No
278,278,31.44,0.0,0.0,85.9,0.0,9.0,17.0,No
279,279,25.87,0.0,0.0,72.2,0.0,11.0,31.0,No
280,280,21.82,0.0,0.0,61.8,0.0,5.0,18.0,No
281,281,22.66,0.0,0.0,64.2,0.0,13.0,38.0,No
282,282,17.17,0.0,0.0,46.4,0.0,19.0,30.0,No
283,283,16.75,0.0,0.0,67.1,0.0,4.0,14.0,No
284,284,15.57,0.0,0.0,63.5,0.0,13.0,17.0,No
285,285,25.23,0.0,0.0,56.4,0.0,30.0,39.0,Yes
286,286,20.21,0.0,0.0,12.5,0.0,9.0,30.0,No
287,287,13.22,0.0,0.0,36.5,1.0,10.0,19.0,No
288,288,17.64,0.0,0.0,46.6,0.0,11.0,30.0,No
289,289,8.73,3.0,0.0,77.7,0.0,5.0,14.0,No
290,290,19.09,0.0,1.0,57.8,0.0,8.0,14.0,No
291,291,10.25,0.0,1.0,14.2,1.0,13.0,25.0,No
292,292,22.75,3.0,1.0,44.4,0.0,20.0,25.0,Yes
293,293,20.45,0.0,0.0,69.1,0.0,7.0,13.0,Yes
294,294,21.89,0.0,0.0,35.9,0.0,6.0,18.0,No
295,295,6.8,0.0,0.0,50.1,0.0,10.0,22.0,No
296,296,11.9,0.0,0.0,34.4,1.0,9.0,15.0,No
297,297,9.93,0.0,1.0,39.1,3.0,11.0,33.0,No
298,298,28.39,0.0,1.0,68.9,0.0,16.0,30.0,No
299,299,15.37,0.0,0.0,14.8,1.0,12.0,24.0,Yes
300,300,17.55,0.0,1.0,79.4,0.0,17.0,29.0,No
301,301,34.97,0.0,0.0,91.5,0.0,18.0,33.0,No
302,302,24.57,2.0,0.0,70.8,0.0,14.0,18.0,No
303,303,34.95,0.0,0.0,52.6,0.0,16.0,34.0,No
304,304,15.77,0.0,0.0,43.0,0.0,10.0,21.0,No
305,305,29.4,0.0,0.0,63.7,0.0,6.0,8.0,No
306,306,24.8,0.0,0.0,40.0,0.0,15.0,19.0,No
307,307,2.82,0.0,0.0,47.6,0.0,4.0,5.0,No
308,308,14.39,0.0,1.0,90.3,0.0,6.0,17.0,No
309,309,35.97,0.0,0.0,47.3,0.0,18.0,28.0,No
310,310,17.64,0.0,0.0,45.4,0.0,15.0,29.0,No
311,311,28.5,1.0,0.0,59.5,0.0,24.0,41.0,No
312,312,16.69,0.0,5.0,25.3,0.0,13.0,20.0,No
313,313,20.88,0.0,0.0,60.2,0.0,15.0,32.0,No
314,314,9.74,0.0,0.0,77.1,0.0,6.0,8.0,No
315,315,23.51,0.0,0.0,39.4,1.0,12.0,22.0,No
316,316,14.66,0.0,1.0,69.6,1.0,12.0,40.0,No
317,317,12.96,1.0,1.0,41.2,0.0,9.0,20.0,No
318,318,13.76,0.0,0.0,76.0,0.0,10.0,35.0,No
319,319,31.4,0.0,0.0,8.3,0.0,39.0,77.0,No
320,320,19.12,0.0,0.0,81.4,0.0,10.0,16.0,No
321,321,31.44,1.0,0.0,53.3,0.0,8.0,12.0,Yes
322,322,10.75,0.0,1.0,39.8,0.0,9.0,64.0,No
323,323,41.94,0.0,1.0,97.1,0.0,15.0,25.0,No
324,324,25.57,0.0,1.0,32.6,0.0,35.0,72.0,No
325,325,11.5,0.0,1.0,51.5,0.0,6.0,13.0,No
326,326,8.28,0.0,0.0,89.6,0.0,5.0,5.0,Yes
327,327,17.7,6.0,2.0,22.0,0.0,11.0,22.0,No
328,328,6.77,0.0,0.0,92.1,0.0,2.0,16.0,Yes
329,329,34.18,0.0,0.0,36.9,0.0,17.0,34.0,No
330,330,18.2,1.0,1.0,50.0,0.0,16.0,32.0,No
331,331,23.02,0.0,0.0,52.6,0.0,11.0,28.0,No
332,332,12.88,0.0,0.0,61.2,0.0,6.0,8.0,No
333,333,24.65,1.0,0.0,85.0,1.0,3.0,6.0,No
334,334,16.78,0.0,1.0,20.8,1.0,14.0,31.0,No
335,335,20.26,0.0,0.0,77.1,2.0,12.0,35.0,No
336,336,9.03,0.0,0.0,2.3,0.0,7.0,12.0,No
337,337,34.83,0.0,2.0,93.4,0.0,11.0,27.0,No
338,338,18.72,0.0,0.0,72.4,0.0,12.0,18.0,No
339,339,38.78,1.0,2.0,44.7,0.0,16.0,27.0,Yes
340,340,25.58,0.0,0.0,70.5,0.0,21.0,38.0,No
341,341,10.52,1.0,0.0,59.0,0.0,13.0,32.0,No
342,342,32.48,0.0,0.0,46.6,0.0,10.0,15.0,Yes
343,343,12.93,0.0,0.0,81.7,0.0,7.0,16.0,No
344,344,6.51,0.0,0.0,46.9,0.0,6.0,15.0,No
345,345,5.57,0.0,0.0,39.3,0.0,5.0,22.0,No
346,346,25.94,0.0,2.0,72.5,0.0,21.0,33.0,No
347,347,33.95,0.0,0.0,58.2,0.0,12.0,15.0,No
348,348,23.46,0.0,0.0,66.0,0.0,8.0,13.0,No
349,349,37.66,1.0,0.0,95.9,0.0,11.0,43.0,No
350,350,38.35,0.0,0.0,69.7,0.0,8.0,29.0,No
351,351,4.63,0.0,1.0,57.1,0.0,6.0,10.0,No
352,352,16.75,0.0,1.0,16.5,2.0,18.0,40.0,Yes
353,353,14.73,0.0,2.0,58.2,1.0,25.0,46.0,No
354,354,11.4,0.0,0.0,35.9,0.0,15.0,37.0,No
355,355,24.84,0.0,1.0,71.2,0.0,8.0,14.0,No
356,356,11.63,0.0,3.0,79.5,0.0,14.0,25.0,No
357,357,28.26,0.0,0.0,74.3,1.0,23.0,31.0,No
358,358,27.69,0.0,0.0,49.3,0.0,11.0,12.0,Yes
359,359,11.94,0.0,1.0,34.7,0.0,7.0,15.0,No
360,360,25.07,0.0,0.0,76.2,0.0,5.0,23.0,No
361,361,13.46,1.0,0.0,85.2,0.0,22.0,56.0,No
362,362,17.5,0.0,0.0,46.8,1.0,16.0,19.0,No
363,363,27.43,0.0,2.0,26.8,1.0,11.0,23.0,No
364,364,18.17,0.0,0.0,39.2,0.0,7.0,38.0,No
365,365,16.81,0.0,0.0,72.4,0.0,6.0,13.0,No
366,366,3.35,0.0,0.0,55.7,0.0,7.0,14.0,No
367,367,30.03,1.0,0.0,78.0,0.0,9.0,37.0,No
368,368,20.97,0.0,0.0,29.2,0.0,13.0,28.0,No
369,369,20.92,0.0,1.0,44.0,1.0,27.0,47.0,No
370,370,12.22,0.0,1.0,39.1,0.0,7.0,43.0,No
371,371,18.64,0.0,0.0,58.6,0.0,11.0,22.0,No
372,372,2.45,1.0,0.0,41.9,1.0,7.0,14.0,No
373,373,15.58,0.0,0.0,60.2,0.0,12.0,26.0,Yes
374,374,12.41,1.0,2.0,42.1,0.0,10.0,16.0,No
375,375,14.6,0.0,0.0,62.3,1.0,7.0,11.0,No
376,376,3.81,0.0,1.0,74.6,0.0,3.0,6.0,No
377,377,16.46,1.0,1.0,46.7,0.0,15.0,29.0,No
378,378,20.94,0.0,0.0,86.0,0.0,15.0,35.0,No
379,379,21.47,0.0,0.0,24.1,0.0,26.0,32.0,No
380,380,26.7,1.0,1.0,23.2,3.0,10.0,20.0,No
381,381,7.64,0.0,2.0,84.4,0.0,16.0,26.0,No
382,382,2.45,0.0,2.0,39.2,0.0,6.0,24.0,No
383,383,19.03,1.0,0.0,50.2,0.0,8.0,27.0,No
384,384,26.99,0.0,0.0,58.3,0.0,24.0,49.0,No
385,385,27.97,1.0,1.0,20.8,0.0,24.0,58.0,No
386,386,12.69,0.0,0.0,73.3,0.0,5.0,15.0,No
387,387,20.48,0.0,0.0,41.0,0.0,13.0,18.0,No
388,388,11.6,0.0,0.0,68.4,1.0,9.0,21.0,No
389,389,15.89,2.0,1.0,35.2,1.0,11.0,33.0,No
390,390,15.29,1.0,0.0,38.1,0.0,5.0,10.0,Yes
391,391,30.16,0.0,2.0,36.3,1.0,10.0,24.0,No
392,392,10.16,0.0,0.0,35.5,0.0,12.0,13.0,No
393,393,18.32,0.0,0.0,87.9,0.0,5.0,8.0,No
394,394,33.66,0.0,0.0,56.9,0.0,11.0,39.0,No
395,395,20.16,0.0,0.0,22.8,0.0,4.0,14.0,No
396,396,35.74,0.0,1.0,88.2,0.0,10.0,25.0,No
397,397,19.52,0.0,3.0,39.2,0.0,13.0,27.0,Yes
398,398,37.92,2.0,0.0,51.9,1.0,11.0,22.0,Yes
399,399,9.34,9.0,1.0,76.2,0.0,11.0,54.0,No
400,400,25.25,1.0,0.0,28.3,0.0,27.0,49.0,No
401,401,14.3,0.0,0.0,59.5,0.0,10.0,12.0,No
402,402,27.81,0.0,0.0,39.1,0.0,6.0,26.0,No
403,403,32.7,0.0,1.0,62.4,0.0,6.0,13.0,No
